CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,Latitude,Longitude,Lat_Lon
839110510,12/09/2016,12:00:00,,,03/21/2017,341,PETIT LARCENY,303,"LARCENY,PETIT BY CHECK USE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,INSIDE,BANK,40.83696823,-73.860823746,"(40.83696823, -73.860823746)"
462104269,12/09/2016,08:15:00,03/21/2017,18:04:00,03/21/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,19,,RESIDENCE - APT. HOUSE,40.764496621,-73.959967157,"(40.764496621, -73.959967157)"
940289995,12/09/2016,15:20:00,12/09/2016,17:00:00,03/19/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,DEPARTMENT STORE,40.749733638,-73.989675685,"(40.749733638, -73.989675685)"
561407254,12/09/2016,12:00:00,12/09/2016,12:05:00,03/13/2017,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,100,INSIDE,RESIDENCE-HOUSE,40.586231405,-73.816011121,"(40.586231405, -73.816011121)"
530282651,12/09/2016,00:01:00,,,03/09/2017,341,PETIT LARCENY,303,"LARCENY,PETIT BY CHECK USE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,40.851322612,-73.921411563,"(40.851322612, -73.921411563)"
668830648,12/09/2016,17:00:00,01/04/2017,17:00:00,03/05/2017,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,40.862788274,-73.918946854,"(40.862788274, -73.918946854)"
681162500,12/09/2016,08:34:00,03/01/2017,09:30:00,03/01/2017,109,GRAND LARCENY,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,COMMERCIAL BUILDING,40.756097618,-73.98109855,"(40.756097618, -73.98109855)"
176041234,12/09/2016,20:00:00,12/12/2016,11:00:00,02/27/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,STREET,40.771874003,-73.951561448,"(40.771874003, -73.951561448)"
634259970,12/09/2016,16:45:00,12/09/2016,16:50:00,02/27/2017,109,GRAND LARCENY,437,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,RESIDENCE - APT. HOUSE,40.746067737,-73.977882216,"(40.746067737, -73.977882216)"
285649228,12/09/2016,00:01:00,02/24/2017,13:00:00,02/24/2017,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115,INSIDE,RESIDENCE - APT. HOUSE,40.755052397,-73.861409981,"(40.755052397, -73.861409981)"
